figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,handle,322500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,324000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,325500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,327000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,328500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,330000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,331500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,333000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,334500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,336000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,337500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,339000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,340500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,342000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,343500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,345000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,346500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,348000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,349500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,351000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,352500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,354000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,355500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,357000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,358500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,360000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,361500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,363000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,364500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,366000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,367500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,369000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,370500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,372000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,373500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,375000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,376500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,378000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,379500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,381000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,382500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,384000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,385500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,387000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,388500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,390000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,391500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,393000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,394500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,396000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,397500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,399000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,400500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,402000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,403500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,405000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,406500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,408000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,409500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,411000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,412500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,414000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,415500,,,,,,,,her,,,,,,,0.04,0.0,0.04
